,Date,RTG_SP,RTG_SP_CHANGE,RTG_FITCH,RTG_FITCH_CHANGE,RTG_MOODY,RTG_MOODY_CHANGE,TOT_DEBT_TO_TOT_EQY,CUR_RATIO,IS_EPS,RETURN_ON_ASSET,RETURN_COM_EQY,EBITDA_TO_REVENUE,DAYS_TO_MTY_TDY,DAYS_TO_NEXT_COUPON,CALLABLE,NORMALIZED_PAYMENT_RANK,CPN_TYP,CPN_FREQ,VOLATILITY_360D,VOLATILITY_90D,VOLATILITY_30D,"('EK882203@BMRK Corp', 'PX_LAST')"
0,,BB,,,,Ba2,,16.375304270856383,1.5877025738798856,1.296,,,9.91039913114309,980.0,63.0,N,Sr Unsecured,FIXED,2.0,4.709190368652344,4.309442043304443,4.646617412567139,
1,,BB,0.0,,0.0,Ba2,0.0,16.375304270856383,1.5877025738798856,1.296,,,9.91039913114309,980.0,63.0,N,Sr Unsecured,FIXED,2.0,4.709190368652344,4.309442043304443,4.646617412567139,
2,,BB,0.0,,0.0,Ba2,0.0,16.375304270856383,1.5877025738798856,1.296,,,9.91039913114309,980.0,63.0,N,Sr Unsecured,FIXED,2.0,4.709190368652344,4.309442043304443,4.646617412567139,
3,,BB,0.0,,0.0,Ba2,0.0,16.375304270856383,1.5877025738798856,1.296,,,9.91039913114309,980.0,63.0,N,Sr Unsecured,FIXED,2.0,4.709190368652344,4.309442043304443,4.646617412567139,
4,,BB,0.0,,0.0,Ba2,0.0,16.375304270856383,1.5877025738798856,1.296,,,9.91039913114309,980.0,63.0,N,Sr Unsecured,FIXED,2.0,4.709190368652344,4.309442043304443,4.646617412567139,
5,,BB,0.0,,0.0,Ba2,0.0,16.375304270856383,1.5877025738798856,1.296,,,9.91039913114309,980.0,63.0,N,Sr Unsecured,FIXED,2.0,4.709190368652344,4.309442043304443,4.646617412567139,
6,,BB,0.0,,0.0,Ba2,0.0,16.375304270856383,1.5877025738798856,1.296,,,9.91039913114309,980.0,63.0,N,Sr Unsecured,FIXED,2.0,4.709190368652344,4.309442043304443,4.646617412567139,
7,,BB,0.0,,0.0,Ba2,0.0,16.375304270856383,1.5877025738798856,1.296,,,9.91039913114309,980.0,63.0,N,Sr Unsecured,FIXED,2.0,4.709190368652344,4.309442043304443,4.646617412567139,
8,,BB,0.0,,0.0,Ba2,0.0,16.375304270856383,1.5877025738798856,1.296,,,9.91039913114309,980.0,63.0,N,Sr Unsecured,FIXED,2.0,4.709190368652344,4.309442043304443,4.646617412567139,
9,,BB,0.0,,0.0,Ba2,0.0,16.375304270856383,1.5877025738798856,1.296,,,9.91039913114309,980.0,63.0,N,Sr Unsecured,FIXED,2.0,4.709190368652344,4.309442043304443,4.646617412567139,
10,,BB,0.0,,0.0,Ba2,0.0,16.375304270856383,1.5877025738798856,1.296,,,9.91039913114309,980.0,63.0,N,Sr Unsecured,FIXED,2.0,4.709190368652344,4.309442043304443,4.646617412567139,
