,Date,RTG_SP,RTG_SP_CHANGE,RTG_FITCH,RTG_FITCH_CHANGE,RTG_MOODY,RTG_MOODY_CHANGE,TOT_DEBT_TO_TOT_EQY,CUR_RATIO,IS_EPS,RETURN_ON_ASSET,RETURN_COM_EQY,EBITDA_TO_REVENUE,DAYS_TO_MTY_TDY,DAYS_TO_NEXT_COUPON,CALLABLE,NORMALIZED_PAYMENT_RANK,CPN_TYP,CPN_FREQ,VOLATILITY_360D,VOLATILITY_90D,VOLATILITY_30D,"('LW920639@BMRK Corp', 'PX_LAST')"
0,,BB,,BB,,,,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
1,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
2,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
3,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
4,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
5,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
6,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
7,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
8,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
9,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
10,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
11,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
12,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
13,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
14,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
15,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
16,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
17,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
18,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
19,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
20,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
21,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
22,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
23,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
24,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
25,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
26,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
27,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
28,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
29,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
