date,PMI,CPI,UNEMPLOYMENT,Spread,Commodity_Index,Libor,Interest_Rates,Philly_Fed
2010-01-04,55.8,2.7,9.9,375.762,494.19,0.23344,0.25,16.5
2010-01-05,55.8,2.7,9.9,369.684,493.66,0.23344,0.25,16.5
2010-01-06,55.8,2.7,9.9,376.968,494.1,0.23219,0.25,16.5
2010-01-07,55.8,2.7,9.9,377.681,495.44,0.23125,0.25,16.5
2010-01-08,55.8,2.7,9.9,378.706,498.36,0.23313,0.25,16.5
2010-01-11,55.8,2.7,9.9,379.466,498.92,0.23313,0.25,16.5
2010-01-12,55.8,2.7,9.9,366.916,497.39,0.23313,0.25,16.5
2010-01-13,55.8,2.7,9.9,373.903,496.69,0.23313,0.25,16.5
2010-01-14,55.8,2.7,9.9,368.437,496.97,0.23313,0.25,16.5
2010-01-15,55.8,2.7,9.9,361.955,495.51,0.23313,0.25,16.5
2010-01-19,55.8,2.7,9.9,364.519,494.87,0.23063,0.25,16.5
2010-01-20,55.8,2.7,9.9,359.867,494.87,0.23063,0.25,16.5
2010-01-21,55.8,2.7,9.9,354.413,494.9,0.23063,0.25,16.5
2010-01-22,55.8,2.7,9.9,356.039,492.16,0.23063,0.25,16.5
2010-01-25,55.8,2.7,9.9,357.974,492.47,0.23063,0.25,16.5
2010-01-26,55.8,2.7,9.9,355.483,490.35,0.23063,0.25,16.5
2010-01-27,55.8,2.7,9.9,357.579,488.92,0.23063,0.25,16.5
2010-01-28,55.8,2.7,9.9,356.23,479.15,0.22875,0.25,16.5
2010-01-29,55.8,2.7,9.9,351.226,474.96,0.22906,0.25,16.5
2010-02-01,56.3,2.6,9.8,356.283,471.27,0.22906,0.25,12.9
2010-02-02,56.3,2.6,9.8,355.016,469.26,0.23094,0.25,12.9
2010-02-03,56.3,2.6,9.8,361.439,469.44,0.22906,0.25,12.9
2010-02-04,56.3,2.6,9.8,351.848,468.11,0.22844,0.25,12.9
2010-02-05,56.3,2.6,9.8,347.71,465.89,0.22844,0.25,12.9
2010-02-08,56.3,2.6,9.8,346.731,463.23,0.22844,0.25,12.9
2010-02-09,56.3,2.6,9.8,354.028,469.26,0.22844,0.25,12.9
2010-02-10,56.3,2.6,9.8,358.715,471.49,0.22844,0.25,12.9
2010-02-11,56.3,2.6,9.8,362.186,474.98,0.23063,0.25,12.9
2010-02-12,56.3,2.6,9.8,360.24,474.65,0.23188,0.25,12.9
2010-02-16,56.3,2.6,9.8,356.756,477.52,0.22875,0.25,12.9
2010-02-17,56.3,2.6,9.8,364.029,480.48,0.22875,0.25,12.9
2010-02-18,56.3,2.6,9.8,369.15,481.92,0.22875,0.25,12.9
2010-02-19,56.3,2.6,9.8,367.512,484.04,0.22875,0.25,12.9
2010-02-22,56.3,2.6,9.8,370.82,485.58,0.22875,0.25,12.9
2010-02-23,56.3,2.6,9.8,357.066,484.47,0.22875,0.25,12.9
2010-02-24,56.3,2.6,9.8,357.824,484.04,0.22875,0.25,12.9
2010-02-25,56.3,2.6,9.8,351.463,483.57,0.22875,0.25,12.9
2010-02-26,56.3,2.6,9.8,349.39,486.26,0.22875,0.25,12.9
2010-03-01,55.5,2.1,9.8,348.201,488.52,0.22813,0.25,13.9
2010-03-02,55.5,2.1,9.8,347.62,487.35,0.22813,0.25,13.9
2010-03-03,55.5,2.1,9.8,347.922,490.53,0.22813,0.25,13.9
2010-03-04,55.5,2.1,9.8,346.415,490.31,0.22813,0.25,13.9
2010-03-05,55.5,2.1,9.8,353.345,497.45,0.22906,0.25,13.9
2010-03-08,55.5,2.1,9.8,356.752,499.04,0.23,0.25,13.9
2010-03-09,55.5,2.1,9.8,354.724,499.15,0.23,0.25,13.9
2010-03-10,55.5,2.1,9.8,357.325,499.65,0.23,0.25,13.9
2010-03-11,55.5,2.1,9.8,357.899,500.06,0.23,0.25,13.9
2010-03-12,55.5,2.1,9.8,355.541,500.42,0.23,0.25,13.9
2010-03-15,55.5,2.1,9.8,354.666,500.08,0.23031,0.25,13.9
2010-03-16,55.5,2.1,9.8,348.588,500.92,0.23563,0.25,13.9
2010-03-17,55.5,2.1,9.8,348.582,501.89,0.23744,0.25,13.9
2010-03-18,55.5,2.1,9.8,352.767,503.52,0.23975,0.25,13.9
2010-03-19,55.5,2.1,9.8,354.202,504.54,0.24506,0.25,13.9
2010-03-22,55.5,2.1,9.8,351.871,504.44,0.24719,0.25,13.9
2010-03-23,55.5,2.1,9.8,355.243,502.77,0.24606,0.25,13.9
2010-03-24,55.5,2.1,9.8,371.643,501.12,0.24619,0.25,13.9
2010-03-25,55.5,2.1,9.8,374.471,501.12,0.24694,0.25,13.9
2010-03-26,55.5,2.1,9.8,370.878,501.51,0.24688,0.25,13.9
2010-03-29,55.5,2.1,9.8,373.54,504.09,0.24788,0.25,13.9
2010-03-30,55.5,2.1,9.8,370.334,502.43,0.24863,0.25,13.9
2010-03-31,58.8,2.3,9.9,367.24,503.61,0.24863,0.25,14.2
2010-04-01,58.8,2.3,9.9,371.32,505.56,0.24863,0.25,14.2
2010-04-05,58.8,2.3,9.9,382.25,507.07,0.24863,0.25,14.2
2010-04-06,58.8,2.3,9.9,378.412,508.52,0.25075,0.25,14.2
2010-04-07,58.8,2.3,9.9,368.97,508.19,0.25138,0.25,14.2
2010-04-08,58.8,2.3,9.9,373.178,507.27,0.25013,0.25,14.2
2010-04-09,58.8,2.3,9.9,373.228,506.57,0.25288,0.25,14.2
2010-04-12,58.8,2.3,9.9,370.365,506.87,0.25298,0.25,14.2
2010-04-13,58.8,2.3,9.9,366.714,509.22,0.25438,0.25,14.2
2010-04-14,58.8,2.3,9.9,370.602,510.36,0.25594,0.25,14.2
2010-04-15,58.8,2.3,9.9,367.886,512.9,0.25625,0.25,14.2
2010-04-16,58.8,2.3,9.9,360.828,513.29,0.25563,0.25,14.2
2010-04-19,58.8,2.3,9.9,364.819,509.94,0.2575,0.25,14.2
2010-04-20,58.8,2.3,9.9,365.016,513.43,0.25875,0.25,14.2
2010-04-21,58.8,2.3,9.9,358.746,513.52,0.26063,0.25,14.2
2010-04-22,58.8,2.3,9.9,361.908,513.22,0.2625,0.25,14.2
2010-04-23,58.8,2.3,9.9,365.6,514.37,0.26438,0.25,14.2
2010-04-26,58.8,2.3,9.9,365.216,515.5,0.26469,0.25,14.2
2010-04-27,58.8,2.3,9.9,353.949,511.67,0.26672,0.25,14.2
2010-04-28,58.8,2.3,9.9,360.756,508.83,0.27313,0.25,14.2
2010-04-29,58.8,2.3,9.9,356.897,509.61,0.27766,0.25,14.2
2010-04-30,58.1,2.2,9.9,349.588,510.4,0.28,0.25,16.0
2010-05-03,58.1,2.2,9.9,351.858,508.32,0.28,0.25,16.0
2010-05-04,58.1,2.2,9.9,342.572,504.03,0.28469,0.25,16.0
2010-05-05,58.1,2.2,9.9,338.961,500.46,0.29094,0.25,16.0
2010-05-06,58.1,2.2,9.9,328.613,497.33,0.29706,0.25,16.0
2010-05-07,58.1,2.2,9.9,330.262,492.8,0.34875,0.25,16.0
2010-05-10,58.1,2.2,9.9,339.242,494.79,0.34,0.25,16.0
2010-05-11,58.1,2.2,9.9,336.821,490.68,0.3375,0.25,16.0
2010-05-12,58.1,2.2,9.9,341.774,491.6,0.33813,0.25,16.0
2010-05-13,58.1,2.2,9.9,337.056,492.12,0.33688,0.25,16.0
2010-05-14,58.1,2.2,9.9,330.518,490.45,0.33775,0.25,16.0
2010-05-17,58.1,2.2,9.9,333.258,485.41,0.33894,0.25,16.0
2010-05-18,58.1,2.2,9.9,317.759,484.81,0.33969,0.25,16.0
2010-05-19,58.1,2.2,9.9,320.27,482.45,0.34106,0.25,16.0
2010-05-20,58.1,2.2,9.9,305.418,481.64,0.34131,0.25,16.0
2010-05-21,58.1,2.2,9.9,308.248,483.15,0.34281,0.25,16.0
2010-05-24,58.1,2.2,9.9,304.587,485.5,0.34525,0.25,16.0
2010-05-25,58.1,2.2,9.9,299.635,482.76,0.354,0.25,16.0
2010-05-26,58.1,2.2,9.9,302.504,480.35,0.35406,0.25,16.0
2010-05-27,58.1,2.2,9.9,319.704,481.08,0.35375,0.25,16.0
2010-05-28,58.1,2.2,9.9,313.382,481.4,0.35125,0.25,16.0
2010-06-01,57.4,2.0,9.6,310.984,476.76,0.35088,0.25,22.2
2010-06-02,57.4,2.0,9.6,319.171,475.9,0.35088,0.25,22.2
2010-06-03,57.4,2.0,9.6,322.582,473.25,0.35088,0.25,22.2
2010-06-04,57.4,2.0,9.6,307.832,469.41,0.35,0.25,22.2
2010-06-07,57.4,2.0,9.6,303.249,465.05,0.35,0.25,22.2
2010-06-08,57.4,2.0,9.6,307.091,466.53,0.35,0.25,22.2
2010-06-09,57.4,2.0,9.6,307.94,472.21,0.35031,0.25,22.2
2010-06-10,57.4,2.0,9.6,323.598,472.61,0.34969,0.25,22.2
2010-06-11,57.4,2.0,9.6,316.244,475.78,0.34969,0.25,22.2
2010-06-14,57.4,2.0,9.6,319.895,478.01,0.34969,0.25,22.2
2010-06-15,57.4,2.0,9.6,322.319,479.25,0.34969,0.25,22.2
2010-06-16,57.4,2.0,9.6,316.763,480.36,0.34844,0.25,22.2
2010-06-17,57.4,2.0,9.6,309.82,477.13,0.3475,0.25,22.2
2010-06-18,57.4,2.0,9.6,312.196,476.44,0.34734,0.25,22.2
2010-06-21,57.4,2.0,9.6,313.07,479.95,0.34719,0.25,22.2
2010-06-22,57.4,2.0,9.6,304.55,479.17,0.34719,0.25,22.2
2010-06-23,57.4,2.0,9.6,299.61,479.04,0.34719,0.25,22.2
2010-06-24,57.4,2.0,9.6,301.316,481.0,0.34719,0.25,22.2
2010-06-25,57.4,2.0,9.6,297.774,482.8,0.34719,0.25,22.2
2010-06-28,57.4,2.0,9.6,288.279,483.37,0.34719,0.25,22.2
2010-06-29,57.4,2.0,9.6,280.382,477.21,0.34563,0.25,22.2
2010-06-30,56.5,1.1,9.4,275.741,475.45,0.34844,0.25,14.9
2010-07-01,56.5,1.1,9.4,277.843,474.13,0.34719,0.25,14.9
2010-07-02,56.5,1.1,9.4,281.345,473.48,0.3475,0.25,14.9
2010-07-06,56.5,1.1,9.4,276.662,475.11,0.34625,0.25,14.9
2010-07-07,56.5,1.1,9.4,282.491,471.98,0.345,0.25,14.9
2010-07-08,56.5,1.1,9.4,288.232,472.21,0.3425,0.25,14.9
2010-07-09,56.5,1.1,9.4,290.369,473.19,0.34094,0.25,14.9
2010-07-12,56.5,1.1,9.4,292.258,472.27,0.34094,0.25,14.9
2010-07-13,56.5,1.1,9.4,297.051,472.33,0.34094,0.25,14.9
2010-07-14,56.5,1.1,9.4,289.432,472.58,0.34094,0.25,14.9
2010-07-15,56.5,1.1,9.4,284.341,471.29,0.34063,0.25,14.9
2010-07-16,56.5,1.1,9.4,277.319,469.93,0.33813,0.25,14.9
2010-07-19,56.5,1.1,9.4,280.332,469.69,0.33688,0.25,14.9
2010-07-20,56.5,1.1,9.4,279.475,469.86,0.3325,0.25,14.9
2010-07-21,56.5,1.1,9.4,272.478,473.13,0.33063,0.25,14.9
2010-07-22,56.5,1.1,9.4,278.699,475.02,0.32875,0.25,14.9
2010-07-23,56.5,1.1,9.4,284.605,476.01,0.32688,0.25,14.9
2010-07-26,56.5,1.1,9.4,283.702,477.75,0.325,0.25,14.9
2010-07-27,56.5,1.1,9.4,289.814,479.06,0.32063,0.25,14.9
2010-07-28,56.5,1.1,9.4,283.564,484.25,0.31563,0.25,14.9
2010-07-29,56.5,1.1,9.4,283.111,485.8,0.31156,0.25,14.9
2010-07-30,56.5,1.1,9.4,276.199,486.96,0.305,0.25,14.9
2010-08-02,56.1,1.2,9.4,281.764,489.07,0.30281,0.25,7.7
2010-08-03,56.1,1.2,9.4,276.428,490.03,0.3,0.25,7.7
