date,PMI
2010-01-01,55.8
2010-01-04,55.8
2010-01-05,55.8
2010-01-06,55.8
2010-01-07,55.8
2010-01-08,55.8
2010-01-11,55.8
2010-01-12,55.8
2010-01-13,55.8
2010-01-14,55.8
2010-01-15,55.8
2010-01-18,55.8
2010-01-19,55.8
2010-01-20,55.8
2010-01-21,55.8
2010-01-22,55.8
2010-01-25,55.8
2010-01-26,55.8
2010-01-27,55.8
2010-01-28,55.8
2010-01-29,55.8
2010-01-31,56.3
2010-02-01,56.3
2010-02-02,56.3
2010-02-03,56.3
2010-02-04,56.3
2010-02-05,56.3
2010-02-08,56.3
2010-02-09,56.3
2010-02-10,56.3
2010-02-11,56.3
2010-02-12,56.3
2010-02-15,56.3
2010-02-16,56.3
2010-02-17,56.3
2010-02-18,56.3
2010-02-19,56.3
2010-02-22,56.3
2010-02-23,56.3
2010-02-24,56.3
2010-02-25,56.3
2010-02-26,56.3
2010-02-28,55.5
2010-03-01,55.5
2010-03-02,55.5
2010-03-03,55.5
2010-03-04,55.5
2010-03-05,55.5
2010-03-08,55.5
2010-03-09,55.5
2010-03-10,55.5
2010-03-11,55.5
2010-03-12,55.5
2010-03-15,55.5
2010-03-16,55.5
2010-03-17,55.5
2010-03-18,55.5
2010-03-19,55.5
2010-03-22,55.5
2010-03-23,55.5
2010-03-24,55.5
2010-03-25,55.5
2010-03-26,55.5
2010-03-29,55.5
2010-03-30,55.5
2010-03-31,58.8
2010-04-01,58.8
2010-04-02,58.8
2010-04-05,58.8
2010-04-06,58.8
2010-04-07,58.8
2010-04-08,58.8
2010-04-09,58.8
2010-04-12,58.8
2010-04-13,58.8
2010-04-14,58.8
2010-04-15,58.8
2010-04-16,58.8
2010-04-19,58.8
2010-04-20,58.8
2010-04-21,58.8
2010-04-22,58.8
2010-04-23,58.8
2010-04-26,58.8
2010-04-27,58.8
2010-04-28,58.8
2010-04-29,58.8
2010-04-30,58.1
2010-05-03,58.1
2010-05-04,58.1
2010-05-05,58.1
2010-05-06,58.1
2010-05-07,58.1
2010-05-10,58.1
2010-05-11,58.1
2010-05-12,58.1
2010-05-13,58.1
2010-05-14,58.1
2010-05-17,58.1
2010-05-18,58.1
2010-05-19,58.1
2010-05-20,58.1
2010-05-21,58.1
2010-05-24,58.1
2010-05-25,58.1
2010-05-26,58.1
2010-05-27,58.1
2010-05-28,58.1
2010-05-31,57.4
2010-06-01,57.4
2010-06-02,57.4
2010-06-03,57.4
2010-06-04,57.4
2010-06-07,57.4
2010-06-08,57.4
2010-06-09,57.4
2010-06-10,57.4
2010-06-11,57.4
2010-06-14,57.4
2010-06-15,57.4
2010-06-16,57.4
2010-06-17,57.4
2010-06-18,57.4
2010-06-21,57.4
2010-06-22,57.4
2010-06-23,57.4
2010-06-24,57.4
2010-06-25,57.4
2010-06-28,57.4
2010-06-29,57.4
2010-06-30,56.5
2010-07-01,56.5
2010-07-02,56.5
2010-07-05,56.5
2010-07-06,56.5
2010-07-07,56.5
2010-07-08,56.5
2010-07-09,56.5
2010-07-12,56.5
2010-07-13,56.5
2010-07-14,56.5
2010-07-15,56.5
2010-07-16,56.5
2010-07-19,56.5
2010-07-20,56.5
2010-07-21,56.5
2010-07-22,56.5
2010-07-23,56.5
2010-07-26,56.5
2010-07-27,56.5
2010-07-28,56.5
2010-07-29,56.5
2010-07-30,56.5
2010-07-31,56.1
2010-08-02,56.1
2010-08-03,56.1
2010-08-04,56.1
2010-08-05,56.1
2010-08-06,56.1
2010-08-09,56.1
2010-08-10,56.1
2010-08-11,56.1
2010-08-12,56.1
2010-08-13,56.1
2010-08-16,56.1
2010-08-17,56.1
2010-08-18,56.1
2010-08-19,56.1
2010-08-20,56.1
2010-08-23,56.1
2010-08-24,56.1
2010-08-25,56.1
2010-08-26,56.1
2010-08-27,56.1
2010-08-30,56.1
2010-08-31,56.4
2010-09-01,56.4
2010-09-02,56.4
2010-09-03,56.4
2010-09-06,56.4
2010-09-07,56.4
2010-09-08,56.4
2010-09-09,56.4
2010-09-10,56.4
2010-09-13,56.4
2010-09-14,56.4
2010-09-15,56.4
2010-09-16,56.4
2010-09-17,56.4
2010-09-20,56.4
2010-09-21,56.4
2010-09-22,56.4
2010-09-23,56.4
2010-09-24,56.4
2010-09-27,56.4
2010-09-28,56.4
2010-09-29,56.4
2010-09-30,55.3
2010-10-01,55.3
2010-10-04,55.3
2010-10-05,55.3
2010-10-06,55.3
2010-10-07,55.3
2010-10-08,55.3
2010-10-11,55.3
2010-10-12,55.3
2010-10-13,55.3
2010-10-14,55.3
2010-10-15,55.3
2010-10-18,55.3
2010-10-19,55.3
2010-10-20,55.3
2010-10-21,55.3
2010-10-22,55.3
2010-10-25,55.3
2010-10-26,55.3
2010-10-27,55.3
2010-10-28,55.3
2010-10-29,55.3
2010-10-31,56.9
2010-11-01,56.9
2010-11-02,56.9
2010-11-03,56.9
2010-11-04,56.9
2010-11-05,56.9
2010-11-08,56.9
2010-11-09,56.9
2010-11-10,56.9
2010-11-11,56.9
2010-11-12,56.9
2010-11-15,56.9
2010-11-16,56.9
2010-11-17,56.9
2010-11-18,56.9
2010-11-19,56.9
2010-11-22,56.9
2010-11-23,56.9
2010-11-24,56.9
2010-11-25,56.9
2010-11-26,56.9
2010-11-29,56.9
2010-11-30,57.3
2010-12-01,57.3
2010-12-02,57.3
2010-12-03,57.3
2010-12-06,57.3
2010-12-07,57.3
2010-12-08,57.3
2010-12-09,57.3
2010-12-10,57.3
2010-12-13,57.3
2010-12-14,57.3
2010-12-15,57.3
2010-12-16,57.3
2010-12-17,57.3
2010-12-20,57.3
2010-12-21,57.3
2010-12-22,57.3
2010-12-23,57.3
2010-12-24,57.3
2010-12-27,57.3
2010-12-28,57.3
2010-12-29,57.3
2010-12-30,57.3
2010-12-31,56.6
2011-01-03,56.6
2011-01-04,56.6
2011-01-05,56.6
2011-01-06,56.6
2011-01-07,56.6
2011-01-10,56.6
2011-01-11,56.6
2011-01-12,56.6
2011-01-13,56.6
2011-01-14,56.6
2011-01-17,56.6
2011-01-18,56.6
2011-01-19,56.6
2011-01-20,56.6
2011-01-21,56.6
2011-01-24,56.6
2011-01-25,56.6
2011-01-26,56.6
2011-01-27,56.6
2011-01-28,56.6
2011-01-31,59.1
2011-02-01,59.1
2011-02-02,59.1
2011-02-03,59.1
2011-02-04,59.1
2011-02-07,59.1
2011-02-08,59.1
2011-02-09,59.1
