date,Philly_Fed
2010-01-01,16.5
2010-01-04,16.5
2010-01-05,16.5
2010-01-06,16.5
2010-01-07,16.5
2010-01-08,16.5
2010-01-11,16.5
2010-01-12,16.5
2010-01-13,16.5
2010-01-14,16.5
2010-01-15,16.5
2010-01-18,16.5
2010-01-19,16.5
2010-01-20,16.5
2010-01-21,16.5
2010-01-22,16.5
2010-01-25,16.5
2010-01-26,16.5
2010-01-27,16.5
2010-01-28,16.5
2010-01-29,16.5
2010-01-31,12.9
2010-02-01,12.9
2010-02-02,12.9
2010-02-03,12.9
2010-02-04,12.9
2010-02-05,12.9
2010-02-08,12.9
2010-02-09,12.9
2010-02-10,12.9
2010-02-11,12.9
2010-02-12,12.9
2010-02-15,12.9
2010-02-16,12.9
2010-02-17,12.9
2010-02-18,12.9
2010-02-19,12.9
2010-02-22,12.9
2010-02-23,12.9
2010-02-24,12.9
2010-02-25,12.9
2010-02-26,12.9
2010-02-28,13.9
2010-03-01,13.9
2010-03-02,13.9
2010-03-03,13.9
2010-03-04,13.9
2010-03-05,13.9
2010-03-08,13.9
2010-03-09,13.9
2010-03-10,13.9
2010-03-11,13.9
2010-03-12,13.9
2010-03-15,13.9
2010-03-16,13.9
2010-03-17,13.9
2010-03-18,13.9
2010-03-19,13.9
2010-03-22,13.9
2010-03-23,13.9
2010-03-24,13.9
2010-03-25,13.9
2010-03-26,13.9
2010-03-29,13.9
2010-03-30,13.9
2010-03-31,14.2
2010-04-01,14.2
2010-04-02,14.2
2010-04-05,14.2
2010-04-06,14.2
2010-04-07,14.2
2010-04-08,14.2
2010-04-09,14.2
2010-04-12,14.2
2010-04-13,14.2
2010-04-14,14.2
2010-04-15,14.2
2010-04-16,14.2
2010-04-19,14.2
2010-04-20,14.2
2010-04-21,14.2
2010-04-22,14.2
2010-04-23,14.2
2010-04-26,14.2
2010-04-27,14.2
2010-04-28,14.2
2010-04-29,14.2
2010-04-30,16.0
2010-05-03,16.0
2010-05-04,16.0
2010-05-05,16.0
2010-05-06,16.0
2010-05-07,16.0
2010-05-10,16.0
2010-05-11,16.0
2010-05-12,16.0
2010-05-13,16.0
2010-05-14,16.0
2010-05-17,16.0
2010-05-18,16.0
2010-05-19,16.0
2010-05-20,16.0
2010-05-21,16.0
2010-05-24,16.0
2010-05-25,16.0
2010-05-26,16.0
2010-05-27,16.0
2010-05-28,16.0
2010-05-31,22.2
2010-06-01,22.2
2010-06-02,22.2
2010-06-03,22.2
2010-06-04,22.2
2010-06-07,22.2
2010-06-08,22.2
2010-06-09,22.2
2010-06-10,22.2
2010-06-11,22.2
2010-06-14,22.2
2010-06-15,22.2
2010-06-16,22.2
2010-06-17,22.2
2010-06-18,22.2
2010-06-21,22.2
2010-06-22,22.2
2010-06-23,22.2
2010-06-24,22.2
2010-06-25,22.2
2010-06-28,22.2
2010-06-29,22.2
2010-06-30,14.9
2010-07-01,14.9
2010-07-02,14.9
2010-07-05,14.9
2010-07-06,14.9
2010-07-07,14.9
2010-07-08,14.9
2010-07-09,14.9
2010-07-12,14.9
2010-07-13,14.9
2010-07-14,14.9
2010-07-15,14.9
2010-07-16,14.9
2010-07-19,14.9
2010-07-20,14.9
2010-07-21,14.9
2010-07-22,14.9
2010-07-23,14.9
2010-07-26,14.9
2010-07-27,14.9
2010-07-28,14.9
2010-07-29,14.9
2010-07-30,14.9
2010-07-31,7.7
2010-08-02,7.7
2010-08-03,7.7
2010-08-04,7.7
2010-08-05,7.7
2010-08-06,7.7
2010-08-09,7.7
2010-08-10,7.7
2010-08-11,7.7
2010-08-12,7.7
2010-08-13,7.7
2010-08-16,7.7
2010-08-17,7.7
2010-08-18,7.7
2010-08-19,7.7
2010-08-20,7.7
2010-08-23,7.7
2010-08-24,7.7
2010-08-25,7.7
2010-08-26,7.7
2010-08-27,7.7
2010-08-30,7.7
2010-08-31,3.6
2010-09-01,3.6
2010-09-02,3.6
2010-09-03,3.6
2010-09-06,3.6
2010-09-07,3.6
2010-09-08,3.6
2010-09-09,3.6
2010-09-10,3.6
2010-09-13,3.6
2010-09-14,3.6
2010-09-15,3.6
2010-09-16,3.6
2010-09-17,3.6
2010-09-20,3.6
2010-09-21,3.6
2010-09-22,3.6
2010-09-23,3.6
2010-09-24,3.6
2010-09-27,3.6
2010-09-28,3.6
2010-09-29,3.6
2010-09-30,4.5
2010-10-01,4.5
2010-10-04,4.5
2010-10-05,4.5
2010-10-06,4.5
2010-10-07,4.5
2010-10-08,4.5
2010-10-11,4.5
2010-10-12,4.5
2010-10-13,4.5
2010-10-14,4.5
2010-10-15,4.5
2010-10-18,4.5
2010-10-19,4.5
2010-10-20,4.5
2010-10-21,4.5
2010-10-22,4.5
2010-10-25,4.5
2010-10-26,4.5
2010-10-27,4.5
2010-10-28,4.5
2010-10-29,4.5
2010-10-31,0.3
2010-11-01,0.3
2010-11-02,0.3
2010-11-03,0.3
2010-11-04,0.3
2010-11-05,0.3
2010-11-08,0.3
2010-11-09,0.3
2010-11-10,0.3
2010-11-11,0.3
2010-11-12,0.3
2010-11-15,0.3
2010-11-16,0.3
2010-11-17,0.3
2010-11-18,0.3
2010-11-19,0.3
2010-11-22,0.3
2010-11-23,0.3
2010-11-24,0.3
2010-11-25,0.3
2010-11-26,0.3
2010-11-29,0.3
2010-11-30,19.1
2010-12-01,19.1
2010-12-02,19.1
2010-12-03,19.1
2010-12-06,19.1
2010-12-07,19.1
2010-12-08,19.1
2010-12-09,19.1
2010-12-10,19.1
2010-12-13,19.1
2010-12-14,19.1
2010-12-15,19.1
2010-12-16,19.1
2010-12-17,19.1
2010-12-20,19.1
2010-12-21,19.1
2010-12-22,19.1
2010-12-23,19.1
2010-12-24,19.1
2010-12-27,19.1
2010-12-28,19.1
2010-12-29,19.1
2010-12-30,19.1
2010-12-31,15.4
2011-01-03,15.4
2011-01-04,15.4
2011-01-05,15.4
2011-01-06,15.4
2011-01-07,15.4
2011-01-10,15.4
2011-01-11,15.4
2011-01-12,15.4
2011-01-13,15.4
2011-01-14,15.4
2011-01-17,15.4
2011-01-18,15.4
2011-01-19,15.4
2011-01-20,15.4
2011-01-21,15.4
2011-01-24,15.4
2011-01-25,15.4
2011-01-26,15.4
2011-01-27,15.4
2011-01-28,15.4
2011-01-31,16.5
2011-02-01,16.5
2011-02-02,16.5
2011-02-03,16.5
2011-02-04,16.5
2011-02-07,16.5
2011-02-08,16.5
2011-02-09,16.5
2011-02-10,16.5
2011-02-11,16.5
2011-02-14,16.5
2011-02-15,16.5
2011-02-16,16.5
2011-02-17,16.5
2011-02-18,16.5
2011-02-21,16.5
2011-02-22,16.5
2011-02-23,16.5
2011-02-24,16.5
2011-02-25,16.5
2011-02-28,28.9
2011-03-01,28.9
2011-03-02,28.9
2011-03-03,28.9
2011-03-04,28.9
2011-03-07,28.9
2011-03-08,28.9
2011-03-09,28.9
2011-03-10,28.9
2011-03-11,28.9
2011-03-14,28.9
2011-03-15,28.9
2011-03-16,28.9
2011-03-17,28.9
2011-03-18,28.9
2011-03-21,28.9
2011-03-22,28.9
2011-03-23,28.9
2011-03-24,28.9
2011-03-25,28.9
2011-03-28,28.9
2011-03-29,28.9
2011-03-30,28.9
2011-03-31,36.4
2011-04-01,36.4
2011-04-04,36.4
2011-04-05,36.4
2011-04-06,36.4
2011-04-07,36.4
2011-04-08,36.4
2011-04-11,36.4
2011-04-12,36.4
2011-04-13,36.4
2011-04-14,36.4
2011-04-15,36.4
2011-04-18,36.4
2011-04-19,36.4
2011-04-20,36.4
2011-04-21,36.4
2011-04-22,36.4
2011-04-25,36.4
