date,BB_COMPOSITE,RTG_COMPOSITE_CHANGE,RTG_SP,RTG_SP_CHANGE,RTG_FITCH,RTG_FITCH_CHANGE,RTG_MOODY,RTG_MOODY_CHANGE,TOT_DEBT_TO_TOT_EQY,CUR_RATIO,IS_EPS,RETURN_ON_ASSET,RETURN_COM_EQY,EBITDA_TO_REVENUE,ISSUE_DT,MATURITY,CALLABLE,NORMALIZED_PAYMENT_RANK,CPN_TYP,CPN_FREQ,PX_LAST
2017-04-27,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.396
2017-04-28,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.494
2017-05-01,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.444
2017-05-02,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.571
2017-05-03,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.44
2017-05-04,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.287
2017-05-05,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.334
2017-05-08,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.094
2017-05-09,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.086
2017-05-10,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.158
2017-05-11,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.196
2017-05-12,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.111
2017-05-15,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.116
2017-05-16,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.14
2017-05-17,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.082
2017-05-18,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,99.466
2017-05-19,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,99.838
2017-05-22,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,99.755
2017-05-23,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,99.786
2017-05-24,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.303
2017-05-25,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.253
2017-05-26,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.277
2017-05-30,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.439
2017-05-31,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.451
2017-06-01,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.426
2017-06-02,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.372
2017-06-05,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.307
2017-06-06,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.397
2017-06-07,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.3
2017-06-08,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.56
2017-06-09,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.55
2017-06-12,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.535
2017-06-13,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.503
2017-06-14,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.49
2017-06-15,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.332
2017-06-16,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.446
2017-06-19,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.273
2017-06-20,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.218
2017-06-21,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.104
2017-06-22,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2,100.03
