date,BB_COMPOSITE,RTG_COMPOSITE_CHANGE,RTG_SP,RTG_SP_CHANGE,RTG_FITCH,RTG_FITCH_CHANGE,RTG_MOODY,RTG_MOODY_CHANGE,TOT_DEBT_TO_TOT_EQY,CUR_RATIO,IS_EPS,RETURN_ON_ASSET,RETURN_COM_EQY,EBITDA_TO_REVENUE,ISSUE_DT,MATURITY,CALLABLE,NORMALIZED_PAYMENT_RANK,CPN_TYP,CPN_FREQ,PX_LAST
2018-03-27,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,100.242
2018-03-28,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,99.944
2018-03-29,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,100.016
2018-04-02,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,100.197
2018-04-03,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,100.012
2018-04-04,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,99.874
2018-04-05,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,99.821
2018-04-06,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,100.02
2018-04-09,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,100.042
2018-04-10,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,99.929
2018-04-11,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,100.336
2018-04-12,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,100.089
2018-04-13,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,100.079
2018-04-16,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,100.056
2018-04-17,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,100.045
2018-04-18,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,99.893
2018-04-19,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,99.836
2018-04-20,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,99.669
2018-04-23,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,99.645
2018-04-24,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,99.615
2018-04-25,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,100.059
2018-04-26,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,100.16
2018-04-27,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,100.187
2018-04-30,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,100.176
2018-05-01,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,100.11
2018-05-02,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,100.124
2018-05-03,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,100.178
2018-05-04,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,100.157
2018-05-07,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,100.097
2018-05-08,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,99.612
2018-05-09,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,99.417
2018-05-10,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,99.418
2018-05-11,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,99.465
2018-05-14,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,99.342
2018-05-15,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,99.21
