date,BB_COMPOSITE,RTG_COMPOSITE_CHANGE,RTG_SP,RTG_SP_CHANGE,RTG_FITCH,RTG_FITCH_CHANGE,RTG_MOODY,RTG_MOODY_CHANGE,TOT_DEBT_TO_TOT_EQY,CUR_RATIO,IS_EPS,RETURN_ON_ASSET,RETURN_COM_EQY,EBITDA_TO_REVENUE,ISSUE_DT,MATURITY,CALLABLE,NORMALIZED_PAYMENT_RANK,CPN_TYP,CPN_FREQ,PX_LAST
2016-05-24,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,100.542
2016-05-25,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,100.68
2016-05-26,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,100.888
2016-05-27,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,100.76
2016-05-31,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,100.835
2016-06-01,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,100.752
2016-06-02,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,100.87
2016-06-03,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,101.414
2016-06-06,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,101.058
2016-06-07,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,101.187
2016-06-08,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,101.396
2016-06-09,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,101.912
2016-06-10,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,101.973
2016-06-13,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,101.233
2016-06-14,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,101.039
2016-06-15,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,101.364
2016-06-16,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,100.812
2016-06-17,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,101.285
2016-06-20,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,101.251
2016-06-21,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,101.15
2016-06-22,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,101.25
2016-06-23,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,101.75
2016-06-24,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,102.426
2016-06-27,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,102.683
