date,BB_COMPOSITE,RTG_COMPOSITE_CHANGE,RTG_SP,RTG_SP_CHANGE,RTG_FITCH,RTG_FITCH_CHANGE,RTG_MOODY,RTG_MOODY_CHANGE,TOT_DEBT_TO_TOT_EQY,CUR_RATIO,IS_EPS,RETURN_ON_ASSET,RETURN_COM_EQY,EBITDA_TO_REVENUE,ISSUE_DT,MATURITY,CALLABLE,NORMALIZED_PAYMENT_RANK,CPN_TYP,CPN_FREQ,PX_LAST
2015-11-06,BB,,BB,,,,Ba1,,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,2015-11-06,2020-11-06,N,Sr Unsecured,FIXED,2,98.921
2015-11-09,BB,0.0,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,2015-11-06,2020-11-06,N,Sr Unsecured,FIXED,2,98.707
2015-11-10,BB,0.0,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,2015-11-06,2020-11-06,N,Sr Unsecured,FIXED,2,98.639
2015-11-12,BB,0.0,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,2015-11-06,2020-11-06,N,Sr Unsecured,FIXED,2,98.269
2015-11-13,BB,0.0,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,2015-11-06,2020-11-06,N,Sr Unsecured,FIXED,2,97.939
2015-11-16,BB,0.0,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,2015-11-06,2020-11-06,N,Sr Unsecured,FIXED,2,97.106
2015-11-17,BB,0.0,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,2015-11-06,2020-11-06,N,Sr Unsecured,FIXED,2,97.584
2015-11-18,BB,0.0,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,2015-11-06,2020-11-06,N,Sr Unsecured,FIXED,2,97.556
2015-11-19,BB,0.0,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,2015-11-06,2020-11-06,N,Sr Unsecured,FIXED,2,97.496
2015-11-20,BB,0.0,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,2015-11-06,2020-11-06,N,Sr Unsecured,FIXED,2,97.195
2015-11-23,BB,0.0,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,2015-11-06,2020-11-06,N,Sr Unsecured,FIXED,2,97.104
2015-11-24,BB,0.0,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,2015-11-06,2020-11-06,N,Sr Unsecured,FIXED,2,96.842
2015-11-25,BB,0.0,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,2015-11-06,2020-11-06,N,Sr Unsecured,FIXED,2,96.965
2015-11-27,BB,0.0,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,2015-11-06,2020-11-06,N,Sr Unsecured,FIXED,2,96.966
2015-11-30,BB,0.0,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,2015-11-06,2020-11-06,N,Sr Unsecured,FIXED,2,97.25
2015-12-01,BB,0.0,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,2015-11-06,2020-11-06,N,Sr Unsecured,FIXED,2,97.556
2015-12-02,BB,0.0,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,2015-11-06,2020-11-06,N,Sr Unsecured,FIXED,2,97.782
2015-12-03,BB,0.0,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,2015-11-06,2020-11-06,N,Sr Unsecured,FIXED,2,97.624
