date,BB_COMPOSITE,RTG_COMPOSITE_CHANGE,RTG_SP,RTG_SP_CHANGE,RTG_FITCH,RTG_FITCH_CHANGE,RTG_MOODY,RTG_MOODY_CHANGE,TOT_DEBT_TO_TOT_EQY,CUR_RATIO,IS_EPS,RETURN_ON_ASSET,RETURN_COM_EQY,EBITDA_TO_REVENUE,ISSUE_DT,MATURITY,CALLABLE,NORMALIZED_PAYMENT_RANK,CPN_TYP,CPN_FREQ,PX_LAST
2017-05-08,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,101.174
2017-05-09,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,101.168
2017-05-10,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,101.241
2017-05-11,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,101.265
2017-05-12,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,101.531
2017-05-15,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,101.525
2017-05-16,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,101.567
2017-05-17,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,101.472
2017-05-18,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,101.366
2017-05-19,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,101.293
2017-05-22,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,101.206
2017-05-23,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,101.147
2017-05-24,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,101.282
2017-05-25,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,101.211
2017-05-26,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,101.245
2017-05-30,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,101.366
2017-05-31,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,101.376
2017-06-01,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,101.346
2017-06-02,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,101.493
2017-06-05,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,101.445
2017-06-06,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,101.491
2017-06-07,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,101.42
2017-06-08,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,101.388
2017-06-09,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,101.324
2017-06-12,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,101.308
2017-06-13,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,101.238
2017-06-14,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,101.481
2017-06-15,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,101.979
2017-06-16,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,102.091
2017-06-19,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,101.938
2017-06-20,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,102.014
2017-06-21,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,102.024
2017-06-22,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,102.107
2017-06-23,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,102.075
2017-06-26,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,102.038
2017-06-27,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,101.881
2017-06-28,BB-,0.0,BB-,0.0,BB,0.0,,0.0,,,,,,,2016-10-06,2021-10-06,Y,Sr Unsecured,FIXED,2,101.874
