date,BB_COMPOSITE,RTG_COMPOSITE_CHANGE,RTG_SP,RTG_SP_CHANGE,RTG_FITCH,RTG_FITCH_CHANGE,RTG_MOODY,RTG_MOODY_CHANGE,TOT_DEBT_TO_TOT_EQY,CUR_RATIO,IS_EPS,RETURN_ON_ASSET,RETURN_COM_EQY,EBITDA_TO_REVENUE,ISSUE_DT,MATURITY,CALLABLE,NORMALIZED_PAYMENT_RANK,CPN_TYP,CPN_FREQ
2017-02-02,NR,,,,,,B1,,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-02-03,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-02-04,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-02-05,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-02-06,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-02-07,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-02-08,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-02-09,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-02-10,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-02-11,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-02-12,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-02-13,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-02-14,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-02-15,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-02-16,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-02-17,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-02-18,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-02-19,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-02-20,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-02-21,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-02-22,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-02-23,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-02-24,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-02-25,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-02-26,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-02-27,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-02-28,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-03-01,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-03-02,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-03-03,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-03-04,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-03-05,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-03-06,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-03-07,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-03-08,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-03-09,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-03-10,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-03-11,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-03-12,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-03-13,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-03-14,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-03-15,NR,0.0,,0.0,,0.0,B1,0.0,638.389647735442,1.1714082503556187,0.037,2.0023247965802993,12.31549815498155,21.497695852534562,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-03-16,NR,0.0,,0.0,,0.0,B1,0.0,,,0.078,,,18.5018163597645,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-03-17,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-03-18,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-03-19,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-03-20,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-03-21,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-03-22,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-03-23,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-03-24,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-03-25,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-03-26,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-03-27,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-03-28,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-03-29,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-03-30,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-03-31,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-04-01,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-04-02,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-04-03,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-04-04,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-04-05,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-04-06,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-04-07,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-04-08,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-04-09,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-04-10,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-04-11,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-04-12,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-04-13,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-04-14,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-04-15,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-04-16,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-04-17,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-04-18,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-04-19,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-04-20,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-04-21,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-04-22,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-04-23,NR,0.0,,0.0,,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-04-24,B+,1.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-04-25,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-04-26,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-04-27,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-04-28,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-04-29,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-04-30,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-05-01,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-05-02,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-05-03,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-05-04,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-05-05,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-05-06,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-05-07,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-05-08,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-05-09,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-05-10,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.649719379333114,50.2771855010661,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-05-11,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-05-12,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-05-13,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-05-14,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-05-15,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-05-16,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-05-17,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-05-18,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-05-19,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-05-20,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-05-21,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-05-22,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-05-23,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-05-24,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-05-25,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-05-26,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-05-27,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-05-28,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-05-29,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-05-30,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
2017-05-31,B+,0.0,,0.0,B+,0.0,B1,0.0,271.74901485298574,1.41305197342712,0.078,8.849557522123893,43.64660330869412,19.052987598647125,2017-02-02,2022-02-02,N,Sr Unsecured,FIXED,2
