date,BB_COMPOSITE,RTG_COMPOSITE_CHANGE,RTG_SP,RTG_SP_CHANGE,RTG_FITCH,RTG_FITCH_CHANGE,RTG_MOODY,RTG_MOODY_CHANGE,TOT_DEBT_TO_TOT_EQY,CUR_RATIO,IS_EPS,RETURN_ON_ASSET,RETURN_COM_EQY,EBITDA_TO_REVENUE,ISSUE_DT,MATURITY,CALLABLE,NORMALIZED_PAYMENT_RANK,CPN_TYP,CPN_FREQ
2017-02-22,NR,,,,,,A2,,121.29405221829661,,3.31,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-02-23,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.31,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-02-24,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.31,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-02-25,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.31,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-02-26,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.31,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-02-27,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.31,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-02-28,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.31,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-03-01,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.31,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-03-02,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.31,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-03-03,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.31,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-03-04,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.31,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-03-05,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.31,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-03-06,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.31,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-03-07,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.31,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-03-08,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.31,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-03-09,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-03-10,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-03-11,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-03-12,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-03-13,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-03-14,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-03-15,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-03-16,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-03-17,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-03-18,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-03-19,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-03-20,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-03-21,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-03-22,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-03-23,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-03-24,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-03-25,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-03-26,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-03-27,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-03-28,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-03-29,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-03-30,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-03-31,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-04-01,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-04-02,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-04-03,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-04-04,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-04-05,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-04-06,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-04-07,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-04-08,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-04-09,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-04-10,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-04-11,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-04-12,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-04-13,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-04-14,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-04-15,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-04-16,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-04-17,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,,,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-04-18,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.8119098003339624,13.729657156908692,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-04-19,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.8119098003339624,13.729657156908692,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-04-20,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.8119098003339624,13.729657156908692,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-04-21,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.8119098003339624,13.729657156908692,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-04-22,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.8119098003339624,13.729657156908692,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-04-23,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.8119098003339624,13.729657156908692,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-04-24,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.8119098003339624,13.729657156908692,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-04-25,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.8119098003339624,13.729657156908692,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-04-26,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.8119098003339624,13.729657156908692,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-04-27,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.8119098003339624,13.729657156908692,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-04-28,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.8119098003339624,13.729657156908692,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-04-29,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.8119098003339624,13.729657156908692,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
2017-04-30,NR,0.0,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.8119098003339624,13.729657156908692,,2017-02-22,2022-02-22,N,Sr Unsecured,FIXED,2
