date,PX_LAST
2017-04-27,100.396
2017-04-28,100.494
2017-05-01,100.444
2017-05-02,100.571
2017-05-03,100.44
2017-05-04,100.287
2017-05-05,100.334
2017-05-08,100.094
2017-05-09,100.086
2017-05-10,100.158
2017-05-11,100.196
2017-05-12,100.111
2017-05-15,100.116
2017-05-16,100.14
2017-05-17,100.082
2017-05-18,99.466
2017-05-19,99.838
2017-05-22,99.755
2017-05-23,99.786
2017-05-24,100.303
2017-05-25,100.253
2017-05-26,100.277
2017-05-30,100.439
2017-05-31,100.451
2017-06-01,100.426
2017-06-02,100.372
2017-06-05,100.307
2017-06-06,100.397
2017-06-07,100.3
2017-06-08,100.56
2017-06-09,100.55
2017-06-12,100.535
2017-06-13,100.503
2017-06-14,100.49
2017-06-15,100.332
2017-06-16,100.446
2017-06-19,100.273
2017-06-20,100.218
2017-06-21,100.104
2017-06-22,100.03
2017-06-23,99.979
2017-06-26,99.952
2017-06-27,99.778
2017-06-28,99.756
2017-06-29,99.674
2017-06-30,99.526
2017-07-03,99.377
2017-07-05,99.398
2017-07-06,99.318
2017-07-07,100.024
2017-07-10,100.084
2017-07-11,100.226
2017-07-12,100.361
2017-07-13,100.339
2017-07-14,100.539
2017-07-17,100.592
2017-07-18,100.897
2017-07-19,100.817
2017-07-20,100.813
2017-07-21,100.874
2017-07-24,100.836
2017-07-25,100.595
2017-07-26,100.823
2017-07-27,100.786
2017-07-28,100.832
2017-07-31,100.913
2017-08-01,101.012
2017-08-02,100.929
2017-08-03,101.046
2017-08-04,101.002
2017-08-07,101.03
2017-08-08,101.036
2017-08-09,101.077
2017-08-10,101.168
2017-08-11,101.312
2017-08-14,101.204
2017-08-15,101.018
2017-08-16,101.173
2017-08-17,101.274
2017-08-18,101.226
2017-08-21,101.276
2017-08-22,101.166
2017-08-23,101.368
2017-08-24,101.34
2017-08-25,101.351
2017-08-28,101.503
2017-08-29,101.563
2017-08-30,101.802
2017-08-31,101.836
2017-09-01,101.732
2017-09-05,102.049
2017-09-06,101.876
2017-09-07,102.063
2017-09-08,102.174
2017-09-11,102.019
2017-09-12,102.409
2017-09-13,102.32
2017-09-14,102.239
2017-09-15,102.532
2017-09-18,102.479
2017-09-19,102.383
2017-09-20,102.22
2017-09-21,102.126
2017-09-22,102.228
2017-09-25,102.271
2017-09-26,102.121
2017-09-27,101.942
2017-09-28,102.008
2017-09-29,101.883
2017-10-02,101.948
2017-10-03,102.003
2017-10-04,101.997
