date,PX_LAST
2017-02-22,99.642
2017-02-23,99.648
2017-02-24,99.692
2017-02-27,99.658
2017-02-28,99.658
2017-03-01,99.667
2017-03-02,99.542
2017-03-03,99.529
2017-03-06,99.518
2017-03-07,99.535
2017-03-08,99.498
2017-03-09,99.461
2017-03-10,99.364
2017-03-13,99.354
2017-03-14,99.313
2017-03-15,99.354
2017-03-16,99.437
2017-03-17,99.479
2017-03-20,99.354
2017-03-21,99.354
2017-03-22,99.333
2017-03-23,99.417
2017-03-24,99.367
2017-03-27,99.438
2017-03-28,99.562
2017-03-29,99.562
2017-03-30,99.596
2017-03-31,99.625
2017-04-03,99.733
2017-04-04,99.796
2017-04-05,99.858
2017-04-06,100.033
2017-04-07,100.192
2017-04-10,100.062
2017-04-11,100.208
2017-04-12,100.146
2017-04-13,100.217
2017-04-17,100.237
2017-04-18,100.25
2017-04-19,100.375
2017-04-20,100.392
2017-04-21,100.392
2017-04-24,100.371
2017-04-25,100.354
2017-04-26,100.394
2017-04-27,100.492
2017-04-28,100.492
2017-05-01,100.575
2017-05-02,100.525
2017-05-03,100.688
2017-05-04,100.837
2017-05-05,100.775
2017-05-08,100.769
2017-05-09,100.854
2017-05-10,100.812
2017-05-11,100.796
2017-05-12,100.787
2017-05-15,101.031
2017-05-16,100.821
2017-05-17,100.821
2017-05-18,100.821
2017-05-19,100.779
2017-05-22,100.879
2017-05-23,100.9
2017-05-24,100.9
2017-05-25,100.942
2017-05-26,100.942
2017-05-29,100.942
2017-05-30,101.142
2017-05-31,101.183
2017-06-01,101.183
2017-06-02,101.183
2017-06-05,99.17
2017-06-06,98.375
2017-06-07,98.042
2017-06-08,97.368
2017-06-09,96.936
2017-06-12,98.058
2017-06-13,98.145
2017-06-14,98.317
2017-06-15,98.454
2017-06-16,98.592
2017-06-19,98.477
2017-06-20,98.365
2017-06-21,98.281
2017-06-22,98.281
2017-06-23,98.408
2017-06-26,98.35
2017-06-27,98.56
2017-06-28,98.225
2017-06-29,97.983
2017-06-30,97.858
2017-07-03,97.817
2017-07-04,97.7
2017-07-05,97.55
2017-07-06,97.358
2017-07-07,97.025
2017-07-10,97.008
2017-07-11,97.121
2017-07-12,97.937
2017-07-13,97.983
2017-07-14,98.067
2017-07-17,98.158
2017-07-18,98.708
2017-07-19,98.917
2017-07-20,99.0
2017-07-21,99.225
2017-07-24,99.275
2017-07-25,99.237
2017-07-26,99.271
2017-07-27,99.338
2017-07-28,99.313
2017-07-31,99.058
2017-08-01,99.071
2017-08-02,99.113
2017-08-03,99.113
2017-08-04,99.154
2017-08-07,99.079
2017-08-08,99.008
2017-08-09,98.6
2017-08-10,98.308
2017-08-11,98.111
2017-08-14,98.208
2017-08-15,98.375
2017-08-16,98.417
2017-08-17,98.5
2017-08-18,98.625
2017-08-21,98.625
2017-08-22,98.667
2017-08-23,98.525
2017-08-24,98.516
2017-08-25,98.71
2017-08-29,98.583
2017-08-30,98.667
2017-08-31,98.641
2017-09-01,98.783
2017-09-04,98.833
2017-09-05,98.875
2017-09-06,98.967
2017-09-07,99.0
2017-09-08,99.108
2017-09-11,99.0
2017-09-12,98.958
2017-09-13,98.958
2017-09-14,98.938
2017-09-15,98.938
2017-09-18,99.067
2017-09-19,99.0
2017-09-20,98.958
2017-09-21,99.025
2017-09-22,98.983
2017-09-25,99.025
2017-09-26,99.125
2017-09-27,99.1
2017-09-28,99.083
2017-09-29,99.125
2017-10-02,99.25
2017-10-03,99.25
2017-10-04,99.208
2017-10-05,99.5
2017-10-06,99.5
2017-10-09,99.208
2017-10-10,99.188
2017-10-11,99.104
2017-10-12,99.0
2017-10-13,98.908
2017-10-16,99.0
2017-10-17,98.958
2017-10-18,99.067
2017-10-19,98.958
