date,PX_LAST
2015-12-02,56.27
2015-12-03,53.788
2015-12-04,63.928
2015-12-07,60.152
2015-12-08,53.166
2015-12-09,55.429
2015-12-10,56.605
2015-12-11,65.504
2015-12-14,64.074
2015-12-15,66.507
2015-12-16,70.271
2015-12-17,74.035
2015-12-18,73.681
2015-12-21,73.903
2015-12-22,74.113
2015-12-23,73.924
2015-12-24,73.662
2015-12-28,73.765
2015-12-29,73.292
2015-12-30,73.601
2015-12-31,73.738
2016-01-04,72.981
2016-01-05,73.447
2016-01-06,74.113
2016-01-07,74.288
2016-01-08,74.269
2016-01-11,75.597
2016-01-12,75.884
2016-01-13,76.176
2016-01-14,76.014
2016-01-15,76.088
2016-01-19,76.055
2016-01-20,75.262
2016-01-21,75.381
2016-01-22,75.415
2016-01-25,75.928
2016-01-26,75.469
2016-01-27,76.181
2016-01-28,76.055
2016-01-29,76.063
2016-02-01,75.884
2016-02-02,76.219
2016-02-03,76.078
2016-02-04,76.313
2016-02-05,76.375
2016-02-08,76.4
2016-02-09,76.09
2016-02-10,75.914
2016-02-11,74.626
2016-02-12,74.745
2016-02-16,74.812
2016-02-17,74.876
2016-02-18,77.618
2016-02-19,80.101
2016-02-22,81.496
2016-02-23,81.096
2016-02-24,81.019
2016-02-25,81.046
2016-02-26,84.059
2016-02-29,84.558
2016-03-01,84.369
2016-03-02,84.28
2016-03-03,83.669
2016-03-04,84.202
2016-03-07,84.202
2016-03-08,84.043
2016-03-09,83.783
2016-03-10,83.458
2016-03-11,83.223
2016-03-14,83.368
2016-03-15,83.572
2016-03-16,83.49
2016-03-17,83.009
2016-03-18,81.854
2016-03-21,82.369
2016-03-22,81.751
2016-03-23,82.101
2016-03-24,81.55
2016-03-28,81.602
2016-03-29,81.483
2016-03-30,81.873
2016-03-31,81.918
2016-04-01,81.839
2016-04-04,82.094
2016-04-05,81.765
2016-04-06,79.187
2016-04-07,79.438
2016-04-08,79.304
2016-04-11,79.413
2016-04-12,80.319
2016-04-13,80.576
2016-04-14,81.704
2016-04-15,81.615
2016-04-18,81.507
2016-04-19,81.818
2016-04-20,82.159
2016-04-21,82.216
2016-04-22,82.171
2016-04-25,82.768
2016-04-26,82.7
2016-04-27,83.103
2016-04-28,83.768
2016-04-29,83.972
2016-05-02,84.04
2016-05-03,84.044
2016-05-04,83.978
2016-05-05,84.163
2016-05-06,84.219
2016-05-09,84.342
2016-05-10,84.611
2016-05-11,85.648
2016-05-12,87.211
2016-05-13,87.427
2016-05-16,87.665
2016-05-17,87.805
2016-05-18,87.637
2016-05-19,87.512
2016-05-20,87.632
2016-05-23,87.518
2016-05-24,86.367
2016-05-25,86.341
2016-05-26,86.256
2016-05-27,85.637
2016-05-31,85.765
2016-06-01,85.91
2016-06-02,85.582
2016-06-03,85.554
2016-06-06,86.249
2016-06-07,86.561
2016-06-08,86.612
2016-06-09,86.61
2016-06-10,86.654
2016-06-13,86.531
2016-06-14,86.412
2016-06-15,86.345
2016-06-16,86.378
2016-06-17,86.357
2016-06-20,86.582
2016-06-21,86.243
2016-06-22,86.411
2016-06-23,86.196
2016-06-24,86.187
2016-06-27,86.297
2016-06-28,86.221
2016-06-29,86.607
2016-06-30,86.817
2016-07-01,86.648
2016-07-05,85.814
2016-07-06,87.107
2016-07-07,87.051
2016-07-08,87.968
2016-07-11,90.326
2016-07-12,91.352
2016-07-13,91.203
2016-07-14,91.387
2016-07-15,91.291
2016-07-18,91.435
2016-07-19,91.715
2016-07-20,91.673
2016-07-21,91.92
2016-07-22,91.513
2016-07-25,92.124
2016-07-26,92.37
2016-07-27,92.54
2016-07-28,92.433
2016-07-29,92.414
2016-08-01,92.431
2016-08-02,91.707
2016-08-03,91.758
2016-08-04,91.923
2016-08-05,92.06
2016-08-08,92.039
2016-08-09,91.842
2016-08-10,92.438
2016-08-11,92.721
2016-08-12,92.683
2016-08-15,92.867
2016-08-16,92.934
2016-08-17,93.084
2016-08-18,93.205
2016-08-19,93.082
2016-08-22,92.756
2016-08-23,92.679
2016-08-24,93.032
2016-08-25,93.051
2016-08-26,92.541
2016-08-29,92.688
2016-08-30,92.827
2016-08-31,92.576
2016-09-01,92.684
2016-09-02,93.094
2016-09-06,93.041
2016-09-07,92.87
2016-09-08,92.732
2016-09-09,92.493
2016-09-12,92.342
2016-09-13,92.19
2016-09-14,92.146
2016-09-15,92.051
2016-09-16,92.107
2016-09-19,92.299
2016-09-20,92.925
2016-09-21,93.389
2016-09-22,93.979
2016-09-23,94.009
2016-09-26,94.335
2016-09-27,94.466
2016-09-28,94.201
2016-09-29,94.727
2016-09-30,94.754
2016-10-03,94.596
2016-10-04,94.26
2016-10-05,94.031
2016-10-06,94.003
2016-10-07,94.002
2016-10-11,93.784
2016-10-12,93.898
2016-10-13,93.899
2016-10-14,93.911
2016-10-17,93.762
2016-10-18,93.724
2016-10-19,93.687
2016-10-20,93.825
2016-10-21,93.748
2016-10-24,93.836
2016-10-25,93.601
2016-10-26,94.015
2016-10-27,93.951
2016-10-28,94.012
2016-10-31,93.937
2016-11-01,93.943
2016-11-02,93.049
2016-11-03,93.258
2016-11-04,93.405
2016-11-07,93.777
2016-11-08,93.828
2016-11-09,93.649
2016-11-10,93.394
2016-11-14,93.331
2016-11-15,92.472
2016-11-16,92.964
2016-11-17,93.221
2016-11-18,93.091
2016-11-21,93.041
2016-11-22,92.942
2016-11-23,92.977
2016-11-25,92.761
2016-11-28,92.912
2016-11-29,92.802
2016-11-30,92.696
2016-12-01,92.537
2016-12-02,92.546
2016-12-05,92.457
