date,PX_LAST
2016-06-01,91.924
2016-06-02,92.084
2016-06-03,92.314
2016-06-06,92.012
2016-06-07,92.835
2016-06-08,92.885
2016-06-09,91.621
2016-06-10,91.887
2016-06-13,91.788
2016-06-14,91.339
2016-06-15,91.579
2016-06-16,91.474
2016-06-17,91.213
2016-06-20,91.819
2016-06-21,91.936
2016-06-22,92.177
2016-06-23,91.91
2016-06-24,92.352
2016-06-27,92.604
2016-06-28,92.548
2016-06-29,93.265
2016-06-30,93.963
2016-07-01,94.494
2016-07-05,95.017
2016-07-06,95.121
2016-07-07,95.009
2016-07-08,95.218
2016-07-11,94.743
2016-07-12,94.202
2016-07-13,94.529
2016-07-14,94.176
2016-07-15,94.081
2016-07-18,94.429
2016-07-19,94.738
2016-07-20,94.469
2016-07-21,94.617
2016-07-22,94.867
2016-07-25,94.81
2016-07-26,94.924
2016-07-27,95.656
2016-07-28,95.65
2016-07-29,95.747
2016-08-01,95.404
2016-08-02,95.27
2016-08-03,94.905
2016-08-04,94.981
2016-08-05,95.043
2016-08-08,95.025
2016-08-09,95.592
2016-08-10,95.924
2016-08-11,95.717
2016-08-12,96.048
2016-08-15,96.192
2016-08-16,97.774
2016-08-17,97.924
2016-08-18,98.044
2016-08-19,97.798
2016-08-22,98.03
2016-08-23,97.974
2016-08-24,97.906
2016-08-25,97.728
2016-08-26,97.493
2016-08-29,97.9
2016-08-30,97.794
2016-08-31,97.661
2016-09-01,97.358
2016-09-02,97.166
2016-09-06,97.223
2016-09-07,97.172
2016-09-08,96.886
2016-09-09,96.411
2016-09-12,96.422
2016-09-13,95.504
2016-09-14,95.878
2016-09-15,95.668
2016-09-16,95.618
2016-09-19,95.462
2016-09-20,95.56
2016-09-21,95.732
2016-09-22,97.115
2016-09-23,97.097
2016-09-26,97.323
2016-09-27,96.647
2016-09-28,95.3
2016-09-29,95.322
2016-09-30,95.112
2016-10-03,94.975
2016-10-04,94.922
2016-10-05,94.887
2016-10-06,94.594
2016-10-07,94.767
2016-10-11,94.458
2016-10-12,94.484
2016-10-13,94.662
2016-10-14,94.381
2016-10-17,94.678
2016-10-18,95.149
2016-10-19,95.448
2016-10-20,95.288
2016-10-21,95.436
2016-10-24,95.4
2016-10-25,95.411
2016-10-26,96.201
2016-10-27,95.975
2016-10-28,96.021
2016-10-31,96.072
2016-11-01,96.222
2016-11-02,96.336
2016-11-03,96.252
2016-11-04,96.479
2016-11-07,96.144
2016-11-08,96.054
2016-11-09,95.344
2016-11-10,94.129
2016-11-14,92.848
2016-11-15,93.012
2016-11-16,92.795
2016-11-17,92.066
2016-11-18,91.796
2016-11-21,92.175
2016-11-22,92.304
2016-11-23,92.392
2016-11-25,92.327
2016-11-28,92.601
2016-11-29,92.662
2016-11-30,92.257
2016-12-01,92.114
2016-12-02,92.127
2016-12-05,91.855
2016-12-06,92.003
2016-12-07,92.259
2016-12-08,92.036
2016-12-09,91.74
2016-12-12,91.82
2016-12-13,91.753
2016-12-14,91.438
2016-12-15,91.624
2016-12-16,91.64
2016-12-19,91.978
2016-12-20,91.838
2016-12-21,92.003
2016-12-22,91.975
2016-12-23,92.017
2016-12-27,92.063
2016-12-28,92.407
2016-12-29,92.353
2016-12-30,92.504
2017-01-03,92.442
2017-01-04,92.62
2017-01-05,92.867
2017-01-06,92.39
2017-01-09,92.574
2017-01-10,92.503
2017-01-11,92.453
2017-01-12,92.467
2017-01-13,92.396
2017-01-17,92.621
2017-01-18,92.129
2017-01-19,91.88
2017-01-20,92.071
2017-01-23,92.412
2017-01-24,92.07
2017-01-25,91.755
2017-01-26,91.796
2017-01-27,91.986
2017-01-30,91.977
2017-01-31,92.067
2017-02-01,91.893
2017-02-02,91.864
2017-02-03,92.043
2017-02-06,92.347
2017-02-07,92.438
2017-02-08,92.755
2017-02-09,92.379
2017-02-10,92.302
2017-02-13,92.78
2017-02-14,93.003
2017-02-15,92.952
2017-02-16,93.19
2017-02-17,93.372
2017-02-21,93.115
2017-02-22,93.302
2017-02-23,93.562
2017-02-24,93.831
2017-02-27,93.415
2017-02-28,93.084
2017-03-01,93.212
2017-03-02,93.073
2017-03-03,93.214
2017-03-06,93.288
2017-03-07,93.214
2017-03-08,92.998
2017-03-09,92.588
2017-03-10,92.826
2017-03-13,92.507
2017-03-14,92.715
2017-03-15,93.469
2017-03-16,93.236
2017-03-17,93.458
2017-03-20,93.881
2017-03-21,94.219
2017-03-22,94.185
2017-03-23,94.096
2017-03-24,94.106
2017-03-27,94.374
2017-03-28,94.128
2017-03-29,94.358
2017-03-30,95.098
2017-03-31,95.279
2017-04-03,95.6
2017-04-04,95.32
2017-04-05,95.536
2017-04-06,95.539
2017-04-07,95.27
2017-04-10,95.535
2017-04-11,95.878
2017-04-12,96.08
2017-04-13,95.862
2017-04-17,95.722
2017-04-18,96.041
2017-04-19,95.758
2017-04-20,95.66
2017-04-21,95.61
2017-04-24,95.692
2017-04-25,95.503
2017-04-26,95.68
2017-04-27,95.776
2017-04-28,95.863
2017-05-01,95.693
2017-05-02,95.823
2017-05-03,95.611
2017-05-04,95.351
2017-05-05,95.478
2017-05-08,95.215
2017-05-09,95.234
2017-05-10,95.276
2017-05-11,95.327
2017-05-12,95.628
2017-05-15,95.569
2017-05-16,95.609
2017-05-17,95.272
2017-05-18,94.627
2017-05-19,94.688
2017-05-22,94.558
2017-05-23,94.522
2017-05-24,94.701
2017-05-25,94.827
2017-05-26,94.834
2017-05-30,95.14
2017-05-31,95.166
2017-06-01,95.144
2017-06-02,95.421
2017-06-05,95.294
2017-06-06,95.409
2017-06-07,95.242
2017-06-08,94.245
2017-06-09,94.147
2017-06-12,94.125
2017-06-13,94.039
2017-06-14,94.606
2017-06-15,94.442
2017-06-16,94.608
2017-06-19,94.389
