date,PX_LAST
2016-12-13,101.407
2016-12-14,101.031
2016-12-15,100.549
2016-12-16,100.696
2016-12-19,100.89
2016-12-20,100.817
2016-12-21,100.896
2016-12-22,100.843
2016-12-23,100.861
2016-12-27,100.738
2016-12-28,101.323
2016-12-29,101.527
2016-12-30,101.613
2017-01-03,101.424
2017-01-04,101.74
2017-01-05,101.963
2017-01-06,101.994
2017-01-09,101.937
2017-01-10,101.945
2017-01-11,101.915
2017-01-12,101.931
2017-01-13,101.967
2017-01-17,102.187
2017-01-18,101.844
2017-01-19,101.813
2017-01-20,101.883
2017-01-23,101.951
2017-01-24,101.826
2017-01-25,101.739
2017-01-26,101.789
2017-01-27,101.866
2017-01-30,101.789
2017-01-31,101.845
2017-02-01,101.912
2017-02-02,101.921
2017-02-03,102.027
2017-02-06,102.225
2017-02-07,102.203
2017-02-08,102.395
2017-02-09,102.336
2017-02-10,102.792
2017-02-13,102.662
2017-02-14,102.552
2017-02-15,102.414
2017-02-16,102.521
2017-02-17,102.622
2017-02-21,102.369
2017-02-22,102.49
2017-02-23,102.522
2017-02-24,102.376
2017-02-27,102.21
2017-02-28,101.938
2017-03-01,101.876
2017-03-02,101.976
2017-03-03,102.168
2017-03-06,102.133
2017-03-07,102.093
2017-03-08,102.029
2017-03-09,101.807
2017-03-10,101.904
2017-03-13,101.749
2017-03-14,101.818
2017-03-15,102.141
2017-03-16,101.983
2017-03-17,102.09
2017-03-20,102.257
2017-03-21,102.305
2017-03-22,102.324
2017-03-23,102.354
2017-03-24,102.363
2017-03-27,102.523
2017-03-28,102.448
2017-03-29,102.604
2017-03-30,102.468
2017-03-31,102.533
2017-04-03,102.677
2017-04-04,102.655
2017-04-05,102.781
2017-04-06,102.78
2017-04-07,102.644
2017-04-10,102.689
2017-04-11,102.911
2017-04-12,103.111
2017-04-13,103.081
2017-04-17,103.065
2017-04-18,102.826
2017-04-19,102.686
2017-04-20,102.571
2017-04-21,102.609
2017-04-24,102.616
2017-04-25,102.403
2017-04-26,102.463
2017-04-27,102.365
2017-04-28,102.399
2017-05-01,102.303
2017-05-02,102.39
2017-05-03,102.272
2017-05-04,102.151
2017-05-05,102.214
2017-05-08,102.161
2017-05-09,102.149
2017-05-10,102.232
2017-05-11,102.29
2017-05-12,102.463
2017-05-15,102.448
2017-05-16,102.5
2017-05-17,102.586
2017-05-18,102.471
2017-05-19,102.397
2017-05-22,102.298
2017-05-23,102.305
2017-05-24,102.416
2017-05-25,102.369
2017-05-26,102.446
2017-05-30,102.569
2017-05-31,102.582
2017-06-01,102.552
2017-06-02,102.593
2017-06-05,102.541
2017-06-06,102.569
2017-06-07,102.502
2017-06-08,102.468
2017-06-09,102.412
2017-06-12,102.375
2017-06-13,102.372
2017-06-14,102.364
2017-06-15,102.279
2017-06-16,102.409
2017-06-19,102.32
2017-06-20,102.441
2017-06-21,102.439
2017-06-22,102.496
2017-06-23,102.454
2017-06-26,102.423
2017-06-27,102.251
2017-06-28,102.248
2017-06-29,102.182
2017-06-30,102.037
2017-07-03,102.101
2017-07-05,102.075
2017-07-06,101.998
2017-07-07,102.01
2017-07-10,101.778
2017-07-11,101.848
2017-07-12,101.928
