date,PX_LAST
2015-11-06,98.921
2015-11-09,98.707
2015-11-10,98.639
2015-11-12,98.269
2015-11-13,97.939
2015-11-16,97.106
2015-11-17,97.584
2015-11-18,97.556
2015-11-19,97.496
2015-11-20,97.195
2015-11-23,97.104
2015-11-24,96.842
2015-11-25,96.965
2015-11-27,96.966
2015-11-30,97.25
2015-12-01,97.556
2015-12-02,97.782
2015-12-03,97.624
2015-12-04,97.469
2015-12-07,97.144
2015-12-08,96.444
2015-12-09,95.635
2015-12-10,95.663
2015-12-11,94.589
2015-12-14,93.743
2015-12-15,95.127
2015-12-16,95.336
2015-12-17,95.151
2015-12-18,94.117
2015-12-21,94.322
2015-12-22,93.959
2015-12-23,94.169
2015-12-24,94.542
2015-12-28,94.505
2015-12-29,94.598
2015-12-30,94.407
2015-12-31,94.082
2016-01-04,93.267
2016-01-05,92.854
2016-01-06,92.517
2016-01-07,92.278
2016-01-08,92.251
2016-01-11,90.992
2016-01-12,91.419
2016-01-13,91.182
2016-01-14,91.293
2016-01-15,88.559
2016-01-19,88.418
2016-01-20,86.951
2016-01-21,88.186
2016-01-22,90.143
2016-01-25,90.263
2016-01-26,91.059
2016-01-27,91.934
2016-01-28,91.021
2016-01-29,94.891
2016-02-01,94.138
2016-02-02,91.575
2016-02-03,92.51
2016-02-04,92.244
2016-02-05,92.184
2016-02-08,90.767
2016-02-09,90.49
2016-02-10,91.059
2016-02-11,89.717
2016-02-12,90.986
2016-02-16,92.352
2016-02-17,93.025
2016-02-18,93.351
2016-02-19,93.144
2016-02-22,93.753
2016-02-23,93.248
2016-02-24,93.544
2016-02-25,93.972
2016-02-26,96.077
2016-02-29,96.27
2016-03-01,96.708
2016-03-02,96.893
2016-03-03,97.299
2016-03-04,98.594
2016-03-07,98.582
2016-03-08,98.144
2016-03-09,97.962
2016-03-10,98.473
2016-03-11,99.077
2016-03-14,99.011
2016-03-15,98.809
2016-03-16,98.847
2016-03-17,99.227
2016-03-18,99.457
2016-03-21,99.612
2016-03-22,99.702
2016-03-23,99.219
2016-03-24,98.945
2016-03-28,98.77
2016-03-29,98.43
2016-03-30,98.994
2016-03-31,99.275
2016-04-01,98.862
2016-04-04,98.83
2016-04-05,97.731
2016-04-06,97.999
2016-04-07,97.983
2016-04-08,98.081
2016-04-11,98.146
2016-04-12,98.601
2016-04-13,99.14
2016-04-14,99.272
2016-04-15,99.457
2016-04-18,99.506
2016-04-19,99.902
2016-04-20,100.351
2016-04-21,99.953
2016-04-22,100.177
2016-04-25,100.004
2016-04-26,100.158
2016-04-27,100.369
2016-04-28,100.094
2016-04-29,99.779
2016-05-02,99.972
2016-05-03,99.149
2016-05-04,98.948
2016-05-05,99.085
2016-05-06,99.296
2016-05-09,98.905
2016-05-10,99.38
2016-05-11,99.721
2016-05-12,99.82
2016-05-13,99.626
2016-05-16,99.548
2016-05-17,99.445
2016-05-18,99.078
2016-05-19,98.755
2016-05-20,99.139
2016-05-23,99.236
2016-05-24,99.306
2016-05-25,99.424
2016-05-26,99.496
2016-05-27,99.807
2016-05-31,99.686
2016-06-01,99.557
2016-06-02,99.596
2016-06-03,99.727
2016-06-06,99.943
2016-06-07,100.09
2016-06-08,100.542
2016-06-09,100.457
2016-06-10,100.413
2016-06-13,100.067
2016-06-14,99.831
2016-06-15,100.144
2016-06-16,99.731
2016-06-17,99.964
2016-06-20,100.393
2016-06-21,100.605
2016-06-22,101.022
2016-06-23,101.112
2016-06-24,100.345
2016-06-27,99.583
2016-06-28,99.548
2016-06-29,100.249
2016-06-30,101.009
2016-07-01,101.543
2016-07-05,101.487
2016-07-06,101.372
2016-07-07,101.419
2016-07-08,101.852
2016-07-11,102.016
2016-07-12,102.609
2016-07-13,102.179
2016-07-14,102.454
2016-07-15,102.66
2016-07-18,102.516
2016-07-19,102.502
2016-07-20,102.946
2016-07-21,102.789
2016-07-22,103.471
2016-07-25,103.193
2016-07-26,103.064
2016-07-27,103.128
2016-07-28,103.167
2016-07-29,103.172
2016-08-01,103.02
2016-08-02,102.998
2016-08-03,103.251
2016-08-04,103.547
2016-08-05,103.529
2016-08-08,103.528
2016-08-09,103.649
2016-08-10,103.615
2016-08-11,103.72
2016-08-12,103.824
2016-08-15,103.822
2016-08-16,103.831
2016-08-17,103.743
2016-08-18,103.982
2016-08-19,104.08
2016-08-22,104.018
2016-08-23,104.212
2016-08-24,104.132
2016-08-25,103.962
2016-08-26,104.107
2016-08-29,104.159
2016-08-30,104.641
2016-08-31,105.192
2016-09-01,105.37
2016-09-02,105.634
2016-09-06,105.514
2016-09-07,105.736
2016-09-08,105.562
2016-09-09,105.614
2016-09-12,105.293
2016-09-13,104.323
2016-09-14,104.532
2016-09-15,104.705
2016-09-16,104.513
2016-09-19,104.39
2016-09-20,104.578
2016-09-21,104.56
2016-09-22,104.72
2016-09-23,104.882
2016-09-26,104.831
2016-09-27,104.957
2016-09-28,104.971
2016-09-29,104.926
2016-09-30,105.017
2016-10-03,105.003
2016-10-04,105.048
2016-10-05,105.107
2016-10-06,104.908
2016-10-07,104.878
2016-10-11,104.835
2016-10-12,104.571
