date,Spread
2010-01-01,377.61
2010-01-04,375.762
2010-01-05,369.684
2010-01-06,376.968
2010-01-07,377.681
2010-01-08,378.706
2010-01-11,379.466
2010-01-12,366.916
2010-01-13,373.903
2010-01-14,368.437
2010-01-15,361.955
2010-01-18,361.76
2010-01-19,364.519
2010-01-20,359.867
2010-01-21,354.413
2010-01-22,356.039
2010-01-25,357.974
2010-01-26,355.483
2010-01-27,357.579
2010-01-28,356.23
2010-01-29,351.226
2010-02-01,356.283
2010-02-02,355.016
2010-02-03,361.439
2010-02-04,351.848
2010-02-05,347.71
2010-02-08,346.731
2010-02-09,354.028
2010-02-10,358.715
2010-02-11,362.186
2010-02-12,360.24
2010-02-15,360.051
2010-02-16,356.756
2010-02-17,364.029
2010-02-18,369.15
2010-02-19,367.512
2010-02-22,370.82
2010-02-23,357.066
2010-02-24,357.824
2010-02-25,351.463
2010-02-26,349.39
2010-03-01,348.201
2010-03-02,347.62
2010-03-03,347.922
2010-03-04,346.415
2010-03-05,353.345
2010-03-08,356.752
2010-03-09,354.724
2010-03-10,357.325
2010-03-11,357.899
2010-03-12,355.541
2010-03-15,354.666
2010-03-16,348.588
2010-03-17,348.582
2010-03-18,352.767
2010-03-19,354.202
2010-03-22,351.871
2010-03-23,355.243
2010-03-24,371.643
2010-03-25,374.471
2010-03-26,370.878
2010-03-29,373.54
2010-03-30,370.334
2010-03-31,367.24
2010-04-01,371.32
2010-04-02,378.426
2010-04-05,382.25
2010-04-06,378.412
2010-04-07,368.97
2010-04-08,373.178
2010-04-09,373.228
2010-04-12,370.365
2010-04-13,366.714
2010-04-14,370.602
2010-04-15,367.886
2010-04-16,360.828
2010-04-19,364.819
2010-04-20,365.016
2010-04-21,358.746
2010-04-22,361.908
2010-04-23,365.6
2010-04-26,365.216
2010-04-27,353.949
2010-04-28,360.756
2010-04-29,356.897
2010-04-30,349.588
2010-05-03,351.858
2010-05-04,342.572
2010-05-05,338.961
2010-05-06,328.613
2010-05-07,330.262
2010-05-10,339.242
2010-05-11,336.821
2010-05-12,341.774
2010-05-13,337.056
2010-05-14,330.518
2010-05-17,333.258
2010-05-18,317.759
2010-05-19,320.27
2010-05-20,305.418
2010-05-21,308.248
2010-05-24,304.587
2010-05-25,299.635
2010-05-26,302.504
2010-05-27,319.704
2010-05-28,313.382
2010-05-31,312.947
2010-06-01,310.984
2010-06-02,319.171
2010-06-03,322.582
2010-06-04,307.832
2010-06-07,303.249
2010-06-08,307.091
2010-06-09,307.94
2010-06-10,323.598
2010-06-11,316.244
2010-06-14,319.895
2010-06-15,322.319
2010-06-16,316.763
2010-06-17,309.82
2010-06-18,312.196
2010-06-21,313.07
2010-06-22,304.55
2010-06-23,299.61
2010-06-24,301.316
2010-06-25,297.774
2010-06-28,288.279
2010-06-29,280.382
2010-06-30,275.741
2010-07-01,277.843
2010-07-02,281.345
2010-07-05,280.974
2010-07-06,276.662
2010-07-07,282.491
2010-07-08,288.232
2010-07-09,290.369
2010-07-12,292.258
2010-07-13,297.051
2010-07-14,289.432
2010-07-15,284.341
2010-07-16,277.319
2010-07-19,280.332
2010-07-20,279.475
2010-07-21,272.478
2010-07-22,278.699
2010-07-23,284.605
2010-07-26,283.702
2010-07-27,289.814
2010-07-28,283.564
2010-07-29,283.111
