ticker,EJ536676@BMRK Corp
field,PX_LAST
date,
2014-10-01,98.185
2014-10-02,97.981
2014-10-03,99.379
2014-10-06,99.629
2014-10-07,99.768
2014-10-08,99.37
2014-10-09,99.228
2014-10-10,98.72
2014-10-13,98.731
2014-10-14,98.657
2014-10-15,96.952
2014-10-16,97.067
2014-10-17,98.235
2014-10-20,99.333
2014-10-21,99.861
2014-10-22,99.953
2014-10-23,99.818
2014-10-24,99.884
2014-10-27,99.928
2014-10-28,100.144
2014-10-29,101.665
2014-10-30,102.79
2014-10-31,102.808
2014-11-03,102.665
2014-11-04,102.354
2014-11-05,102.491
2014-11-06,102.284
2014-11-07,102.605
2014-11-10,102.401
2014-11-12,102.778
2014-11-13,103.195
2015-10-21,97.088
2015-10-22,97.152
2015-10-23,97.19
2015-10-26,97.256
2015-10-27,97.291
2015-10-28,97.573
2015-10-29,97.82
2015-10-30,97.835
2015-11-02,97.679
2015-11-03,97.889
2015-11-04,97.277
2015-11-05,98.002
2015-11-06,98.876
2015-11-09,98.683
2015-11-10,98.718
2015-11-12,98.685
2015-11-13,98.599
2015-11-16,98.664
2015-11-17,98.552
2015-11-18,98.536
2015-11-19,98.789
2015-11-20,98.789
2015-11-23,98.55
2015-11-24,98.481
2015-11-25,98.15
2015-11-27,98.035
2015-11-30,96.627
2015-12-01,95.222
2015-12-02,94.723
2015-12-03,92.995
2015-12-04,92.472
2015-12-07,91.943
2015-12-08,90.228
2015-12-09,87.521
2015-12-10,86.973
2015-12-11,86.678
2015-12-14,86.292
2015-12-15,85.827
2015-12-16,85.533
2015-12-17,85.597
2015-12-18,86.999
2015-12-21,87.415
2015-12-22,87.809
2015-12-23,88.262
2015-12-24,88.418
2015-12-28,88.53
2015-12-29,88.663
2015-12-30,88.663
2015-12-31,88.788
2016-01-04,88.701
2016-01-05,89.447
2016-01-06,89.614
2016-01-07,89.427
2016-01-08,89.243
2016-01-11,88.972
2016-01-12,88.964
2016-01-13,87.045
2016-01-14,87.053
2016-01-15,85.933
2016-01-19,85.999
2016-01-20,85.662
2016-01-21,85.142
2016-01-22,85.561
2016-01-25,85.571
2016-01-26,79.159
2016-01-27,80.879
2016-01-28,79.283
2016-01-29,79.373
2016-02-01,79.351
2016-02-02,79.291
2016-02-03,80.223
2016-02-04,80.917
2016-02-05,81.213
2016-02-08,81.416
2016-02-09,81.957
2016-02-10,82.612
2016-02-11,82.484
2016-02-12,82.466
2016-02-16,83.006
2016-02-17,84.107
2016-02-18,84.384
2016-02-19,84.39
2016-02-22,85.322
2016-02-23,86.168
2016-02-24,86.186
2016-02-25,86.292
2016-02-26,86.708
2016-02-29,86.541
2016-03-01,86.01
2016-03-02,86.242
2016-03-03,86.362
2016-03-04,86.825
2016-03-07,87.465
2016-03-08,87.654
2016-03-09,87.923
2016-03-10,88.112
2016-03-11,88.168
2016-03-14,88.292
2016-03-15,88.254
2016-03-16,87.844
2016-03-17,87.878
2016-03-18,88.082
2016-03-21,88.097
2016-03-22,88.072
2016-03-23,87.715
2016-03-24,87.645
2016-03-28,87.557
2016-03-29,87.493
2016-03-30,87.595
2016-03-31,87.146
2016-04-01,87.062
2016-04-04,87.114
2016-04-05,87.556
2016-04-06,87.714
2016-04-07,87.5
2016-04-08,87.621
2016-04-11,88.001
2016-04-12,88.234
2016-04-13,88.675
2016-04-14,88.954
2016-04-15,89.165
2016-04-18,89.58
2016-04-19,89.94
2016-04-20,90.053
2016-04-21,90.406
2016-04-22,91.131
2016-04-25,91.363
2016-04-26,91.771
2016-04-27,92.048
2016-04-28,92.294
2016-04-29,92.267
2016-05-02,92.297
2016-05-03,92.4
2016-05-04,92.616
2016-05-05,92.861
2016-05-06,92.868
2016-05-09,92.345
2016-05-10,92.065
2016-05-11,91.936
2016-05-12,94.874
2016-05-13,95.303
2016-05-16,96.313
2016-05-17,96.435
2016-05-18,96.524
2016-05-19,96.629
2016-05-20,96.89
2016-05-23,96.888
2016-05-24,97.237
2016-05-25,96.811
2016-05-26,97.071
2016-05-27,97.116
2016-05-31,97.49
2016-06-01,97.885
