ticker,EK811981@BMRK Corp
field,PX_LAST
date,
2017-02-07,101.238
2017-02-08,101.36
2017-02-09,101.235
2017-02-10,101.221
2017-02-13,101.395
2017-02-14,101.353
2017-02-15,101.344
2017-02-16,101.428
2017-02-17,101.457
2017-02-21,101.405
2017-02-22,101.47
2017-02-23,101.509
2017-02-24,101.53
2017-02-27,101.39
2017-02-28,101.233
2017-03-01,101.381
2017-03-02,101.387
2017-03-03,101.483
2017-03-06,101.503
2017-03-07,101.435
2017-03-08,101.383
2017-03-09,101.324
2017-03-10,101.403
2017-03-13,101.292
2017-03-14,101.354
2017-03-15,101.627
2017-03-16,101.428
2017-03-17,101.424
2017-03-20,101.482
2017-03-21,101.181
2017-03-22,101.206
2017-03-23,101.132
2017-03-24,101.147
2017-03-27,101.269
2017-03-28,101.176
2017-03-29,101.264
2017-03-30,101.164
2017-03-31,101.516
2017-04-03,101.592
2017-04-04,101.514
2017-04-05,101.615
2017-04-06,101.618
2017-04-07,101.485
2017-04-10,101.546
2017-04-11,101.684
2017-04-12,101.758
2017-04-13,101.747
2017-04-17,101.643
2017-04-18,101.821
2017-04-19,101.786
2017-04-20,101.774
2017-04-21,101.861
2017-04-24,101.88
2017-04-25,101.862
2017-04-26,102.009
2017-04-27,102.061
2017-04-28,102.075
2017-05-01,102.034
2017-05-02,102.185
2017-05-03,102.11
2017-05-04,102.042
2017-05-05,102.058
2017-05-08,102.003
2017-05-09,102.02
2017-05-10,102.054
2017-05-11,102.057
2017-05-12,102.221
2017-05-15,102.044
2017-05-16,102.053
2017-05-17,102.098
2017-05-18,101.886
2017-05-19,101.835
2017-05-22,101.772
2017-05-23,101.745
2017-05-24,101.816
2017-05-25,101.768
2017-05-26,101.789
2017-05-30,101.763
2017-05-31,101.762
2017-06-01,101.733
2017-06-02,101.804
2017-06-05,101.777
2017-06-06,101.808
2017-06-07,101.763
2017-06-08,101.822
2017-06-09,101.779
2017-06-12,101.825
2017-06-13,101.812
2017-06-14,101.9
2017-06-15,101.878
2017-06-16,101.924
2017-06-19,101.902
2017-06-20,101.937
2017-06-21,101.589
2017-06-22,101.442
2017-06-23,101.325
2017-06-26,101.388
2017-06-27,101.444
2017-06-28,101.474
2017-06-29,101.443
2017-06-30,101.371
2017-07-03,101.334
2017-07-05,101.351
2017-07-06,101.34
2017-07-07,101.336
2017-07-10,101.357
2017-07-11,101.344
2017-07-12,101.366
2017-07-13,101.333
2017-07-14,101.346
2017-07-17,101.387
2017-07-18,101.409
2017-07-19,100.555
2017-07-20,101.021
2017-07-21,101.053
2017-07-24,101.028
2017-07-25,101.191
2017-07-26,101.167
2017-07-27,101.134
2017-07-28,101.167
2017-07-31,101.141
2017-08-01,101.189
2017-08-02,101.15
2017-08-03,101.194
2017-08-04,101.141
2017-08-07,101.156
2017-08-08,101.144
2017-08-09,101.162
2017-08-10,101.241
2017-08-11,101.319
2017-08-14,101.26
2017-08-15,101.167
2017-08-16,101.233
2017-08-17,101.272
2017-08-18,101.296
2017-08-21,101.337
2017-08-22,101.307
2017-08-23,101.397
2017-08-24,101.263
2017-08-25,101.296
2017-08-28,101.343
2017-08-29,101.329
2017-08-30,101.291
2017-08-31,101.294
2017-09-01,101.241
2017-09-05,101.325
2017-09-06,101.245
2017-09-07,101.317
2017-09-08,101.312
2017-09-11,101.148
2017-09-12,101.122
2017-09-13,101.151
2017-09-14,101.162
2017-09-15,101.083
2017-09-18,101.179
2017-09-19,101.084
2017-09-20,101.081
2017-09-21,101.027
2017-09-22,101.065
2017-09-25,101.118
2017-09-26,101.061
2017-09-27,101.5
2017-09-28,101.52
2017-09-29,101.431
2017-10-02,101.427
2017-10-03,101.448
2017-10-04,101.45
2017-10-05,101.381
2017-10-06,101.348
2017-10-10,101.333
2017-10-11,101.36
2017-10-12,101.383
2017-10-13,101.436
2017-10-16,101.328
2017-10-17,101.36
2017-10-18,101.319
2017-10-19,101.433
2017-10-20,101.368
2017-10-23,101.411
2017-10-24,101.322
2017-10-25,101.292
2017-10-26,101.297
2017-10-27,101.345
2017-10-30,101.38
