ticker,QZ697270@BMRK Corp
field,PX_LAST
date,
2017-05-08,101.174
2017-05-09,101.168
2017-05-10,101.241
2017-05-11,101.265
2017-05-12,101.531
2017-05-15,101.525
2017-05-16,101.567
2017-05-17,101.472
2017-05-18,101.366
2017-05-19,101.293
2017-05-22,101.206
2017-05-23,101.147
2017-05-24,101.282
2017-05-25,101.211
2017-05-26,101.245
2017-05-30,101.366
2017-05-31,101.376
2017-06-01,101.346
2017-06-02,101.493
2017-06-05,101.445
2017-06-06,101.491
2017-06-07,101.42
2017-06-08,101.388
2017-06-09,101.324
2017-06-12,101.308
2017-06-13,101.238
2017-06-14,101.481
2017-06-15,101.979
2017-06-16,102.091
2017-06-19,101.938
2017-06-20,102.014
2017-06-21,102.024
2017-06-22,102.107
2017-06-23,102.075
2017-06-26,102.038
2017-06-27,101.881
2017-06-28,101.874
2017-06-29,101.778
2017-06-30,101.619
2017-07-03,101.485
2017-07-05,101.499
2017-07-06,101.431
2017-07-07,101.44
2017-07-10,101.477
2017-07-11,101.547
2017-07-12,101.676
2017-07-13,101.646
2017-07-14,101.726
2017-07-17,101.76
2017-07-18,101.867
2017-07-19,101.802
2017-07-20,101.794
2017-07-21,101.851
2017-07-24,101.822
2017-07-25,101.608
2017-07-26,101.807
2017-07-27,101.753
2017-07-28,101.79
2017-07-31,101.779
2017-08-01,101.86
2017-08-02,101.795
2017-08-03,101.889
2017-08-04,101.799
2017-08-07,101.806
2017-08-08,101.788
2017-08-09,101.678
2017-08-10,101.34
2017-08-11,101.484
2017-08-14,101.381
2017-08-15,101.248
2017-08-16,101.383
2017-08-17,101.464
2017-08-18,101.469
2017-08-21,101.511
2017-08-22,101.411
2017-08-23,101.561
2017-08-24,101.444
2017-08-25,101.532
2017-08-28,101.619
2017-08-29,101.72
2017-08-30,101.666
2017-08-31,101.69
2017-09-01,101.582
2017-09-05,101.84
2017-09-06,101.693
2017-09-07,101.848
2017-09-08,101.83
2017-09-11,101.732
2017-09-12,101.49
2017-09-13,101.421
2017-09-14,101.351
2017-09-15,101.234
2017-09-18,101.859
2017-09-19,101.816
2017-09-20,101.679
2017-09-21,101.593
2017-09-22,101.682
2017-09-25,101.734
2017-09-26,101.681
2017-09-27,101.547
2017-09-28,101.609
2017-09-29,101.462
2017-10-02,101.469
2017-10-03,101.512
2017-10-04,101.506
2017-10-05,101.422
2017-10-06,101.373
2017-10-10,101.365
2017-10-11,101.375
2017-10-12,101.404
2017-10-13,101.526
2017-10-16,101.337
2017-10-17,101.296
2017-10-18,101.192
2017-10-19,101.346
2017-10-20,101.781
2017-10-23,101.856
2017-10-24,101.746
2017-10-25,101.526
2017-10-26,101.453
2017-10-27,101.623
2017-10-30,101.694
2017-10-31,101.625
2017-11-01,101.638
2017-11-02,101.647
2017-11-03,101.684
2017-11-06,101.691
2017-11-07,101.68
2017-11-08,101.621
2017-11-09,101.655
2017-11-10,101.536
2017-11-13,101.202
2017-11-14,101.319
2017-11-15,101.115
2017-11-16,100.984
2017-11-17,101.334
2017-11-20,101.353
2017-11-21,101.265
2017-11-22,101.427
2017-11-24,101.373
2017-11-27,101.331
2017-11-28,101.225
2017-11-29,101.227
2017-11-30,101.256
2017-12-01,101.323
2017-12-04,101.235
2017-12-05,101.242
2017-12-06,101.185
2017-12-07,101.196
2017-12-08,101.204
2017-12-11,101.162
2017-12-12,101.149
2017-12-13,101.29
2017-12-14,101.186
2017-12-15,101.178
2017-12-18,101.12
2017-12-19,101.126
2017-12-20,101.075
2017-12-21,101.078
2017-12-22,101.131
2017-12-26,101.146
2017-12-27,101.245
2017-12-28,101.207
2017-12-29,101.287
2018-01-02,101.036
2018-01-03,101.056
2018-01-04,101.164
2018-01-05,101.054
2018-01-08,101.052
2018-01-09,100.93
2018-01-10,101.075
2018-01-11,100.999
2018-01-12,100.938
2018-01-16,100.891
2018-01-17,100.853
2018-01-18,100.954
2018-01-19,100.717
2018-01-22,100.58
2018-01-23,100.59
2018-01-24,100.488
2018-01-25,100.396
2018-01-26,100.217
2018-01-29,100.171
2018-01-30,100.133
